Time,Channel A
(ms),(V)

1.77615184,0.16787650
1.77620784,0.16787650
1.77626384,0.14917570
1.77631984,0.14917570
1.77637584,0.13053640
1.77643184,0.13053640
1.77648784,0.13053640
1.77654384,0.11189710
1.77659984,0.11189710
1.77665584,0.11189710
1.77671184,0.13053640
1.77676784,0.14917570
1.77682384,0.16787650
1.77687984,0.16787650
1.77693584,0.16787650
1.77699184,0.18651570
1.77704784,0.18651570
1.77710384,0.16787650
1.77715984,0.16787650
1.77721584,0.16787650
1.77727184,0.14917570
1.77732784,0.14917570
1.77738384,0.14917570
1.77743984,0.14917570
1.77749584,0.14917570
1.77755184,0.14917570
1.77760784,0.16787650
1.77766384,0.16787650
1.77771984,0.16787650
1.77777584,0.16787650
1.77783184,0.16787650
1.77788784,0.16787650
1.77794384,0.14917570
1.77799984,0.14917570
1.77805584,0.14917570
1.77811184,0.14917570
1.77816784,0.14917570
1.77822384,0.14917570
1.77827984,0.14917570
1.77833584,0.14917570
1.77839184,0.14917570
1.77844784,0.16787650
1.77850384,0.16787650
1.77855984,0.16787650
1.77861584,0.14917570
1.77867184,0.14917570
1.77872784,0.14917570
1.77878384,0.13053640
1.77883984,0.13053640
1.77889584,0.13053640
1.77895184,0.13053640
1.77900784,0.13053640
1.77906384,0.13053640
1.77911984,0.13053640
1.77917584,0.13053640
1.77923184,0.13053640
1.77928784,0.13053640
1.77934384,0.13053640
1.77939984,0.13053640
1.77945584,0.13053640
1.77951184,0.14917570
1.77956784,0.14917570
1.77962384,0.14917570
1.77967984,0.14917570
1.77973584,0.14917570
1.77979184,0.14917570
1.77984784,0.14917570
1.77990384,0.13053640
1.77995984,0.14917570
1.78001584,0.14917570
1.78007184,0.14917570
1.78012784,0.14917570
1.78018384,0.14917570
1.78023984,0.13053640
1.78029584,0.13053640
1.78035184,0.13053640
1.78040784,0.11189710
1.78046384,0.11189710
1.78051984,0.09325787
1.78057584,0.09325787
1.78063184,0.09325787
1.78068784,0.09325787
1.78074384,0.11189710
1.78079984,0.11189710
1.78085584,0.13053640
1.78091184,0.13053640
1.78096784,0.14917570
1.78102384,0.14917570
